land,arable,habitable
"9826675","1650062","916400"
"9984670","415573","281100"
"1972550","243457","224800"
"1082009","115386","171200"
"8514877","586036","1005500"
"3529211","294110","174000"
"882051","25138","54400"
"1038700","20878","88400"
"276841","15808","29400"
"1000000","28811","57800"
"1084390","30146","20000"
"397311","29678","12600"
"173621","13491","6600"
"241591","56121","72300"
"357021","115698","91600"
"677429","214871","75000"
"301338","77651","70700"
"504031","135776","56500"
"91951","15898","15700"
"65121","15839","29900"
"39771","3941","7600"
"82444","13677","8500"
"22185","22365","5800"
"410934","24368","9400"
"307442","8301","4800"
"304473","19913","5600"
"312685","122545","50400"
"77276","29999","18200"
"48811","14264","6400"
"92341","45782","15000"
"238391","90961","36280"
"110551","33099","10520"
"130811","26749","11800"
"213387","55498","29840"
"172111","52394","12600"
"68891","11587","5600"
"17886722","1554650","588800"
"1331463","371244","149700"
"3435818","109242","155600"
"1648195","195611","213000"
"796095","190319","363200"
"3983728","1505880","2769800"
"9794535","1420672","2820000"
"2351557","387345","669800"
"374744","43621","127500"
"98191","16281","48600"
"5772686","395717","387600"
"2222865","258379","542400"
"7617930","468503","43000"
"268021","14848","8400"
"1603197","52780","59600"
"6769043","236038","817000"
"11811209","1081717","3214000"
"5389530","354444","758500"
